4910,362
2004,700
4636,532
8387,761
164,812
10419,201
5877,687
9615,285
5397,271
2155,369
4757,399
6242,838
3326,730
417,371
905,427
4809,875
10176,576
2705,835
7422,730
12148,668
1444,44
3405,311
2104,296
337,131
7493,415
529,707
9473,659
8345,731
2533,383
5632,0
8233,651
7797,47
682,670
4616,408
6293,399
11344,752
10206,378
9901,343
4545,467
7007,653
5563,353
10929,163
1661,711
6244,364
10341,767
5817,315
11021,375
4517,703
7768,136
7952,560
7973,575
5412,684
10655,77
10177,467
1753,667
958,282
2921,843
5849,667
7973,319
2137,539
2005,591
9201,611
10014,570
624,80
3713,787
3074,294
8938,94
4415,301
9638,850
11275,593
10138,110
3805,743
10321,131
1589,623
7607,21
5839,221
3929,283
37,575
10293,879
11634,630
12121,283
11481,411
7589,703
4997,607
2578,598
5209,283
11604,572
1357,311
10302,154
7384,264
7386,558
2343,357
7549,711
10657,371
2872,40
1246,122
7427,697
3858,86
7762,534
9561,539
5516,612
2274,710
332,164
7994,590
6856,728
11157,399
434,310
4347,289
7435,593
10037,623
11187,201
7293,711
637,199
485,383
6684,276
37,319
8187,801
4174,458
10353,739
11827,329
2242,614
5016,840
810,30
6177,243
8332,100
721,771
11961,315
5813,751
8261,159
6513,483
2133,207
12093,7
721,515
4806,178
1087,557
6453,879
8251,481
5661,679
6149,735
5346,710
3557,639
8769,339
6341,799
10245,735
8952,616
12043,81
5061,287
9787,225
1675,721
9989,735
2855,101
9065,75
9389,599
1910,194
6321,163
3565,535
7032,744
7865,571
386,166
2377,747
4014,490
10366,346
5508,460
6808,584
1290,446
1778,502
4379,641
7145,203
5053,663
12065,227
10449,275
408,600
7899,721
3224,856
2745,299
7950,794
1150,842
2949,847
5877,703
11405,231
9129,539
7999,317
4910,122
10613,575
5265,339
4137,411
6750,234
11333,399
5824,336
7135,285
2421,575
10236,164
2278,2
10613,319
6872,24
3954,614
11284,364
398,154
6263,325
6425,75
7279,173
11353,523
9900,724
2421,319
10561,835
8447,893
5877,191
3457,259
6385,115
1038,282
6577,691
409,203
7430,866
5511,149
9272,56
6997,735
6853,15
2637,807
6233,11
6244,380
9659,369
7230,394
11469,679
6936,728
3245,71
8775,469
7677,87
6233,267
1192,360
5483,609
11499,225
1589,127
2900,44
786,70
157,567
319,829
6509,135
4231,661
2616,56
11743,29
1497,651
1192,616
6081,707
6581,511
4201,859
10065,659
12059,145
9630,170
11773,599
10016,112
5309,663
8247,389
7140,252
7741,535
1755,721
7628,52
8614,66
1947,273
11226,318
991,285
840,840
11909,591
2821,463
11958,402
5474,86
7293,471
5679,749
8951,197
6064,0
3636,460
7213,199
11613,887
2517,95
7579,273
7273,859
302,378
